dish,source
Jalebi,
holige,
pancakes,
ras malai,
shahi tukda,
pani puri,
noodles,
sunny side up,
massala boiled,
Aloo Gobi,Seed
Baingan Bharta,Seed
Bhindi Masala,Seed
Chole,Seed
Dal Tadka,Seed
Dal Makhani,Seed
Jeera Rice,Seed
Vegetable Biryani,Seed
Paneer Butter Masala,Seed
Palak Paneer,Seed
Shahi Paneer,Seed
Kadai Paneer,Seed
Mutter Paneer,Seed
Malai Kofta,Seed
Navratan Korma,Seed
Aloo Paratha,Seed
Plain Paratha,Seed
Roti,Seed
Naan,Seed
Puri,Seed
Dosa,Seed
Masala Dosa,Seed
Idli,Seed
Upma,Seed
Poha,Seed
Vada Pav,Seed
Pav Bhaji,Seed
Bhel Puri,Seed
Sev Puri,Seed
Ragda Patties,Seed
Samosa,Seed
Kachori,Seed
Hakka Noodles,Seed
Vegetable Fried Rice,Seed
Spring Rolls,Seed
Hara Bhara Kabab,Seed
Tandoori Broccoli,Seed
Corn Chaat,Seed
Aloo Tikki,Seed
Chole Bhature,Seed
Rajma,Seed
Khichdi,Seed
Kathi Roll,Seed
Mix Veg Curry,Seed
Vegetable Cutlets,Seed
Paneer Tikka,Seed
Shakshuka,Seed
Malpua,Seed
Gulab Jamun,Seed
Pavlova,Seed
Dhokla,Seed
Handvo,Seed
Thepla,Seed
Undhiyu,Seed
Methi Thepla,Seed
Masala Kulcha,Seed
Litti Chokha,Seed
Spinach Corn Salad,Seed
Greek Salad,Seed
Caprese,Seed
Veg Lasagna,Seed
Veg Pizza,Seed
Falafel Wrap,Seed
Hummus & Pita,Seed
Paneer Bhurji,Seed
habenero burrito,Poll
Alphanso Mango Milkshake,Poll
Meghana Biryani,Poll
Bhakri,Poll
