dish,user,rating,week,day,comment
Baingan Bharta,sam,2.8,1.0,,
Aloo Tikki,keeri,2.6,1.0,,
Baingan Bharta,anita,3.2,1.0,,
Aloo Tikki,sammy,4.7,1.0,,
habenero burrito,sanju,2.6,1.0,,
habenero burrito,rahul,4.9,1.0,,
Aloo Tikki,dad,2.9,2.0,,
Gulab Jamun,sam,4.0,2.0,,
habenero burrito,mom,3.1,2.0,,
Gulab Jamun,saku,4.5,2.0,,
Aloo Tikki,saku,4.4,2.0,,
Falafel Wrap,keeri,3.4,2.0,,
Litti Chokha,anita,2.7,3.0,,
Falafel Wrap,sam,4.4,3.0,,
Hara Bhara Kabab,mom,3.7,3.0,,
Spring Rolls,sammy,4.3,3.0,,
Litti Chokha,sanju,4.9,3.0,,
Vegetable Biryani,keeri,4.3,3.0,,
Hara Bhara Kabab,ajja,3.4,3.0,,
Masala Dosa,sammy,3.3,4.0,,
Spring Rolls,sanju,3.8,4.0,,
Paneer Butter Masala,sam,4.8,4.0,,
Paneer Butter Masala,keeri,3.1,4.0,,
Spring Rolls,dad,4.0,4.0,,
Spring Rolls,saku,2.9,4.0,,
Paneer Butter Masala,sanju,2.9,4.0,,
Vegetable Biryani,sam,4.3,4.0,,
Spring Rolls,keeri,4.8,5.0,,
Litti Chokha,sam,2.7,5.0,,
Vegetable Biryani,dad,2.7,5.0,,
Kathi Roll,sanju,3.6,5.0,,
Litti Chokha,mom,2.9,5.0,,
Litti Chokha,sammy,3.3,5.0,,
Vegetable Biryani,rahul,4.7,6.0,,
Hummus & Pita,sam,4.2,6.0,,
Hummus & Pita,saku,3.1,6.0,,
Falafel Wrap,sammy,4.7,6.0,,
Falafel Wrap,anita,3.8,6.0,,
Spring Rolls,ajja,4.9,6.0,,
Vegetable Biryani,sanju,4.8,6.0,,
Spring Rolls,anita,4.1,6.0,,
Jalebi,rahu sahu,5.0,1.0,,
habenero burrito,sammy,3.0,6.0,Friday,erewrererere
habenero burrito,rahu sahu,4.2,6.0,Friday,
shahi tukda,Sam,4.0,7.0,Saturday,
Vegetable Biryani,Sammu,3.5,8.0,Saturday,
Bhakri,keeri,4.0,,,
Hara Bhara Kabab,keeri,4.0,10.0,Saturday,
